1;1;2;1000
1;2;4;441
1;3;4;346
1;4;0;402
1;5;2;1000
1;6;0;359
1;7;0;770
1;8;0;284
1;9;0;960
1;10;2;1000
1;11;0;717
1;12;0;739
1;13;2;1000
1;14;0;966
1;15;2;1000
2;1;0;330
2;2;2;1000
2;3;0;72
2;4;2;1000
2;5;0;852
2;6;0;772
2;7;0;236
2;8;4;648
2;9;0;865
2;10;4;534
2;11;0;729
2;12;4;770
2;13;0;734
2;14;0;363
2;15;0;727
3;1;2;1000
3;2;0;514
3;3;4;376
3;4;4;584
3;5;0;750
3;6;0;431
3;7;0;665
3;8;2;1000
3;9;2;1000
3;10;4;726
3;11;4;469
3;12;0;970
3;13;0;843
3;14;0;156
3;15;2;1000
4;1;0;690
4;2;2;1000
4;3;4;688
4;4;4;700
4;5;0;52
4;6;0;815
4;7;2;1000
4;8;2;1000
4;9;2;1000
4;10;2;1000
4;11;0;556
4;12;2;1000
4;13;2;1000
4;14;0;544
4;15;2;1000
5;1;0;505
5;2;0;260
5;3;0;646
5;4;2;1000
5;5;0;985
5;6;2;1000
5;7;0;197
5;8;0;725
5;9;2;1000
5;10;0;482
5;11;2;1000
5;12;0;754
5;13;0;808
5;14;0;97
5;15;0;684
6;1;4;203
6;2;0;843
6;3;0;934
6;4;0;635
6;5;0;967
6;6;0;916
6;7;2;1000
6;8;0;881
6;9;0;438
6;10;0;247
6;11;0;718
6;12;0;697
6;13;0;398
6;14;0;955
6;15;0;881
7;1;0;342
7;2;0;782
7;3;0;896
7;4;0;141
7;5;0;451
7;6;0;632
7;7;0;943
7;8;0;842
7;9;0;78
7;10;0;541
7;11;0;694
7;12;0;881
7;13;0;639
7;14;2;1000
7;15;4;491
8;1;0;502
8;2;0;277
8;3;0;753
8;4;4;672
8;5;0;839
8;6;0;57
8;7;4;490
8;8;2;1000
8;9;2;1000
8;10;2;1000
8;11;0;74
8;12;2;1000
8;13;2;1000
8;14;0;511
8;15;0;399
9;1;2;1000
9;2;4;468
9;3;2;1000
9;4;0;626
9;5;2;1000
9;6;0;835
9;7;4;520
9;8;0;511
9;9;2;1000
9;10;2;1000
9;11;4;561
9;12;0;916
9;13;4;527
9;14;0;681
9;15;0;386
10;1;4;963
10;2;0;442
10;3;0;148
10;4;0;0
10;5;0;365
10;6;0;636
10;7;0;682
10;8;0;142
10;9;0;876
10;10;2;1000
10;11;2;1000
10;12;0;919
10;13;0;230
10;14;2;1000
10;15;0;100
11;1;0;957
11;2;2;1000
11;3;2;1000
11;4;4;455
11;5;4;354
11;6;0;614
11;7;0;691
11;8;2;1000
11;9;0;610
11;10;4;364
11;11;4;689
11;12;2;1000
11;13;0;487
11;14;4;423
11;15;4;932
12;1;4;532
12;2;0;292
12;3;2;1000
12;4;0;93
12;5;2;1000
12;6;2;1000
12;7;0;508
12;8;0;202
12;9;0;369
12;10;0;281
12;11;0;165
12;12;2;1000
12;13;0;657
12;14;NA;NA
12;15;0;757
13;1;2;1000
13;2;0;883
13;3;4;781
13;4;0;107
13;5;0;241
13;6;2;1000
13;7;0;692
13;8;0;819
13;9;0;284
13;10;4;824
13;11;0;915
13;12;4;530
13;13;0;219
13;14;2;1000
13;15;0;164
14;1;0;738
14;2;0;766
14;3;4;759
14;4;2;1000
14;5;0;925
14;6;2;1000
14;7;0;0
14;8;0;760
14;9;0;897
14;10;4;873
14;11;2;1000
14;12;0;429
14;13;0;655
14;14;0;872
14;15;2;1000
15;1;2;1000
15;2;0;980
15;3;0;344
15;4;4;560
15;5;0;628
15;6;0;471
15;7;2;1000
15;8;0;854
15;9;0;417
15;10;0;791
15;11;0;466
15;12;2;1000
15;13;2;1000
15;14;0;736
15;15;0;536
16;1;2;1000
16;2;0;698
16;3;2;1000
16;4;2;1000
16;5;0;511
16;6;0;320
16;7;0;123
16;8;2;1000
16;9;0;953
16;10;0;133
16;11;0;654
16;12;0;816
16;13;0;518
16;14;0;660
16;15;0;644
17;1;0;643
17;2;2;1000
17;3;0;176
17;4;2;1000
17;5;2;1000
17;6;2;1000
17;7;0;366
17;8;0;679
17;9;0;251
17;10;2;1000
17;11;4;997
17;12;0;651
17;13;0;620
17;14;4;718
17;15;2;1000
18;1;2;1000
18;2;0;896
18;3;0;606
18;4;4;655
18;5;4;689
18;6;0;949
18;7;0;785
18;8;0;586
18;9;0;385
18;10;0;658
18;11;2;1000
18;12;0;929
18;13;0;936
18;14;0;553
18;15;4;700
19;1;2;1000
19;2;0;700
19;3;4;490
19;4;0;325
19;5;0;265
19;6;0;623
19;7;2;1000
19;8;4;543
19;9;0;783
19;10;0;487
19;11;4;309
19;12;0;885
19;13;2;1000
19;14;2;1000
19;15;0;265
20;1;4;343
20;2;0;52
20;3;0;572
20;4;0;292
20;5;2;1000
20;6;0;811
20;7;0;52
20;8;4;409
20;9;0;591
20;10;0;714
20;11;4;97
20;12;4;557
20;13;2;1000
20;14;4;764
20;15;0;912
21;1;0;563
21;2;4;789
21;3;0;660
21;4;0;510
21;5;4;796
21;6;0;661
21;7;2;1000
21;8;2;1000
21;9;0;849
21;10;0;306
21;11;0;237
21;12;0;359
21;13;0;870
21;14;0;145
21;15;2;1000
22;1;4;817
22;2;0;845
22;3;0;443
22;4;4;415
22;5;4;359
22;6;0;18
22;7;0;32
22;8;4;591
22;9;4;309
22;10;2;1000
22;11;4;367
22;12;0;3
22;13;0;948
22;14;0;670
22;15;0;11
23;1;0;771
23;2;2;1000
23;3;0;897
23;4;2;1000
23;5;0;204
23;6;4;528
23;7;0;501
23;8;0;711
23;9;0;700
23;10;0;740
23;11;4;470
23;12;0;581
23;13;0;656
23;14;4;627
23;15;4;903
24;1;0;565
